date,cycling_mi
2017-12-31,13.2
2017-12-29,10.5
2017-12-27,10.9
2017-12-25,15.3
2017-12-21,13
2017-12-20,13.2
2017-12-19,11.9
2017-12-18,13.1
2017-12-17,23
2017-12-08,14.1
2017-12-07,15.5
2017-12-06,17.5
2017-12-03,17.5
2017-12-01,11.5
2017-11-27,9.7
2017-11-24,17.1
2017-11-22,18
2017-11-21,16.5
2017-11-20,12.6
2017-11-17,12.3
2017-11-15,19
2017-11-13,11.7
2017-11-11,12.3
2017-11-10,15.5
2017-11-07,11.7
2017-11-05,12.6
2017-11-01,12.5
2017-10-31,14.3
2017-10-30,15.5
2017-10-27,16.2
2017-10-25,10.3
2017-10-24,16.2
2017-10-23,12
2017-10-21,17.9
2017-10-19,10.5
2017-10-18,11.9
2017-10-17,10.5
2017-10-16,12.9
2017-10-15,11.9
2017-10-04,14.9
2017-10-03,10.5
2017-10-02,15
2017-09-30,15.5
2017-09-29,16
2017-09-19,12.4
2017-09-18,16
2017-09-17,19.1
2017-09-14,11.6
2017-09-13,11.2
2017-09-11,12
2017-09-09,12.3
2017-09-08,15.5
2017-09-07,14.7
2017-09-06,11.2
2017-09-05,16.2
2017-09-04,12
2017-09-01,12.1
2017-08-31,11.4
2017-08-24,12.6
2017-08-23,17.6
2017-08-22,14.3
2017-08-21,12.6
2017-08-18,15.2
2017-08-17,11.5
2017-08-16,15
2017-08-15,16.2
2017-08-13,10.6
2017-08-11,11.3
2017-08-10,14.6
2017-08-08,11.2
2017-08-07,11.5
2017-08-04,20.4
2017-08-03,15.4
2017-08-02,16.2
2017-08-01,16.2
2017-07-30,15.1
2017-07-28,12.7
2017-07-24,15.3
2017-07-23,6
2017-07-22,15.3
2017-07-21,18.2
2017-07-20,12.6
2017-07-19,11
2017-07-17,10.8
2017-07-15,20.2
2017-07-14,21.2
2017-07-13,15.3
2017-07-12,10.5
2017-07-10,10.8
2017-07-09,20.2
2017-07-08,31.3
2017-07-06,15.2
2017-07-05,14.6
2017-07-02,12
2017-06-30,15.2
2017-06-28,13.5
2017-06-26,6.2
2017-06-25,13.2
2017-06-23,15.1
2017-06-22,13.4
2017-06-21,12.6
2017-06-20,12.6
2017-06-19,14.6
2017-06-18,13.3
2017-06-15,25.5
2017-06-12,19.8
2017-06-09,20.4
2017-06-08,10.4
2017-06-06,20.4
2017-06-02,16.4
2017-05-31,19
2017-05-26,14.3
2017-05-24,14.2
2017-05-22,15
2017-05-19,22
2017-05-18,9.8
2017-05-17,17
2017-05-15,14.7
2017-05-12,15.3
2017-05-10,15.1
2017-05-09,10
2017-05-08,12.3
2017-05-07,15.7
2017-05-05,18.4
2017-05-04,12.5
2017-05-03,20
2017-05-02,12.3
2017-05-01,11.8
2017-04-30,13.5
2017-04-28,20.1
2017-04-27,11.1
2017-04-25,15.7
2017-04-23,15.5
2017-04-22,10.1
2017-04-21,15.1
2017-04-15,14.8
2017-04-14,15.1
2017-04-10,10.9
2017-04-05,17.4
2017-04-04,13.4
2017-04-03,14
2017-04-02,12.3
2017-03-29,16.9
2017-03-28,15.5
2017-03-27,14.7
2017-03-23,14.2
2017-03-22,12
2017-03-17,15
2017-03-15,14.3
2017-03-14,14
2017-03-13,12.2
2017-03-10,11.2
2017-03-09,11.2
2017-03-08,13.1
2017-03-03,13
2017-03-02,15.3
2017-02-26,14.7
2017-02-24,13.3
2017-02-23,15.8
2017-02-22,9
2017-02-15,11.8
2017-02-14,10.2
2017-02-13,10.6
2017-02-12,20.6
2017-01-31,17
2017-01-29,15
2017-01-28,16.5
2017-01-27,12.6
2017-01-26,12.2
2017-01-25,14.2
2017-01-24,12.5
2017-01-17,13.1
2017-01-15,12.6
2017-01-14,16
2017-01-13,17.6
2017-01-11,12.5
2017-01-01,7
2016-12-29,10.8
2016-12-28,15.2
2016-12-27,13.2
2016-12-26,18.1
2016-12-24,15.2
2016-12-16,6.2
2016-12-09,15.4
2016-11-28,13.9
2016-11-23,10.5
2016-11-21,13
2016-11-13,20.1
2016-11-09,16.2
2016-11-06,14
2016-11-01,13.6
2016-10-31,16.4
2016-10-27,12
2016-10-26,15.7
2016-10-24,16.2
2016-10-23,10.4
2016-10-22,22.3
2016-10-21,14.7
2016-10-18,15.2
2016-10-14,22.6
2016-10-13,12
2016-10-11,17.2
2016-10-10,23.9
2016-10-05,14
2016-10-04,16.9
2016-10-03,22.1
2016-09-30,13
2016-09-29,22.8
2016-09-28,17
2016-09-27,14.5
2016-09-26,21.5
2016-09-24,7
2016-09-23,16.8
2016-09-21,21.3
2016-09-20,22.9
2016-09-18,20.7
2016-09-11,9.7
2016-09-10,18.2
2016-09-06,12
2016-09-05,18.6
2016-09-02,15
2016-08-31,13.1
2016-08-30,13.8
2016-08-29,19
2016-08-26,16.1
2016-08-25,7.3
2016-08-24,13.7
2016-08-23,15.2
2016-08-21,10
2016-08-20,18
2016-08-19,11
2016-08-17,13.3
2016-08-16,12.9
2016-08-15,12.8
2016-08-14,15.5
2016-08-12,17
2016-08-11,20.7
2016-08-10,15.8
2016-08-08,12.3
2016-08-07,13.4
2016-08-04,15.2
2016-07-31,17
2016-07-29,14
2016-07-28,11.7
2016-07-27,15.1
2016-07-25,10.8
2016-07-22,14.4
2016-07-21,14.9
2016-07-19,11.5
2016-07-18,10.7
2016-07-15,10.2
2016-07-14,12.4
2016-07-13,15.2
2016-07-12,12.3
2016-07-11,13.6
2016-07-10,10.5
2016-07-09,7.3
2016-07-08,10.4
2016-07-06,15
2016-07-05,10.4
2016-07-04,21
2016-07-03,14.8
2016-07-02,22.4
2016-07-01,15.2
2016-06-30,7.4
2016-06-28,13.5
2016-06-27,10.1
2016-06-26,13.1
2016-06-24,14.9
2016-06-22,11.7
2016-06-20,12.6
2016-06-19,18.4
2016-06-16,10.9
2016-06-13,16.1
2016-06-12,12.1
2016-06-10,14.1
2016-06-09,8.9
2016-06-07,14.5
2016-06-05,20.1
2016-06-04,10.5
2016-06-02,15.8
2016-06-01,15
2016-05-31,13.9
2016-05-29,11
2016-05-28,9.5
2016-05-27,13.5
2016-05-26,13
2016-05-25,17
2016-05-24,14.6
2016-05-22,15.5
2016-05-19,11
2016-05-18,15.6
2016-05-16,10.5
2016-05-15,13.6
2016-05-13,10.9
2016-05-12,10.5
2016-05-11,10.7
2016-05-10,12.7
2016-05-04,12.4
2016-05-03,10.5
2016-04-30,9.1
2016-04-29,15.1
2016-04-26,15.3
2016-04-24,12.3
2016-04-23,11
2016-04-20,17.3
2016-04-18,18.5
2016-04-17,12.8
2016-04-15,16
2016-04-13,18.3
2016-04-11,12.6
2016-04-05,20.1
2016-04-04,11.5
2016-04-03,18.4
2016-04-02,9.2
2016-04-01,14.4
2016-03-31,11
2016-03-29,10
2016-03-27,11.1
2016-03-26,12.2
2016-03-25,15.4
2016-03-20,14.6
2016-03-18,12.4
2016-03-17,16.5
2016-03-16,13.4
2016-03-10,13.2
2016-03-08,10.5
2016-03-06,8.5
2016-03-02,12.5
2016-03-01,15
2016-02-29,15.9
2016-02-27,12
2016-02-26,17.4
2016-02-25,19.6
2016-02-24,12.6
2016-02-23,10.7
2016-02-22,8.5
2016-02-21,15.5
2016-02-20,11.5
2016-02-16,15.4
2016-02-12,17.5
2016-02-11,12.5
2016-02-08,16.3
2016-02-06,10.7
2016-02-05,13.2
2016-02-04,12.8
2016-02-02,10
2016-02-01,12.5
2016-01-25,20.4
2016-01-24,15.1
2016-01-21,14.2
2016-01-20,12
2016-01-02,13.2
2016-01-01,10.2
2015-12-30,11.5
2015-12-29,12.4
2015-12-23,17.8
2015-12-18,14.2
2015-12-16,16.2
2015-12-11,12.4
2015-12-08,9.4
2015-12-06,10.9
2015-12-04,10.2
2015-11-29,16.3
2015-11-26,15
2015-11-22,8.1
2015-11-20,13.5
